brand,name,address,lat,lng
全聯,中山雙連分公司,臺北市中山區集英里錦西街8號1樓,25.0601543,121.5217006
全聯,文山木柵分公司,臺北市文山區木柵里木柵路3段41號1樓,24.9889175,121.5682525
全聯,內湖星雲分公司,臺北市內湖區清白里星雲街163號1樓,25.0809909,121.5967012
全聯,士林士東分公司,臺北市士林區天祿里士東路23號1樓,25.111959,121.526988
全聯,信義松興分公司,臺北市信義區松隆路36號1、2樓,25.0433306,121.5675285
全聯,中正南昌分公司,臺北市中正區南昌路1段51巷1號、1之1號、3弄1號1樓,25.0421407,121.5198716
全聯,六合分公司,臺北市信義區松仁路240巷19號1、2樓,25.024319,121.5688427
全聯,南港中坡分公司,臺北市南港區中坡南路7號1樓,25.0440743,121.582511
全聯,台北太原分公司,臺北市大同區太原路117、119號1樓,25.0527273,121.516051
全聯,內湖金龍分公司,臺北市內湖區金龍路215號1樓,25.0881556,121.5871819
全聯,萬華西藏分公司,臺北市萬華區西藏路125巷9號、129之5及6號、131之4及5號1樓,25.0286063,121.5022532
全聯,大同民生西分公司,臺北市大同區朝陽里民生西路280號1樓,25.0568629,121.5130825
全聯,萬華民和分公司,臺北市萬華區民和街103、105號1樓,25.0252967,121.4975069
全聯,大同大龍分公司,臺北市大同區大龍街153、155號1樓,25.0678842,121.5160012
全聯,北投復興崗分公司,臺北市北投區中央北路2段181號1樓,25.1377865,121.4926581
全聯,內湖民權分公司,臺北市內湖區民權東路六段90巷18號1樓,25.067917,121.586041
全聯,大同民族西分公司,臺北市大同區民族西路235、237號1樓,25.068804,121.5120653
全聯,民權松花分公司,臺北市中山區合江街137號1、2樓,25.0615994,121.5393852
全聯,大安永康分公司,臺北市大安區永康街7巷6號1樓及地下、信義路2段198巷5-1號1樓,25.0332405,121.530514
全聯,華榮分公司,臺北市士林區華聲街17號1樓,25.096592,121.5225494
全聯,南港凌雲分公司,臺北市南港區研究院路3段68巷9號1樓,25.0354295,121.6142841
全聯,松山興安分公司,臺北市松山區民生東路3段130巷9號1樓,25.0575733,121.5398306
