"統計期","發生件數/總計[件]","發生件數/強盜搶奪[件]","發生件數/故意殺人[件]","發生件數/強制性交[件]","發生件數/其他[件]","發生率[件/十萬人]","破獲件數/總計[件]","破獲件數/按案件類別分/強盜搶奪[件]","破獲件數/按案件類別分/故意殺人[件]","破獲件數/按案件類別分/強制性交[件]","破獲件數/按案件類別分/其他[件]","破獲件數/按報案轄區分/本市轄區/當期[件]","破獲件數/按報案轄區分/本市轄區/積案[件]","破獲件數/按報案轄區分/其他轄區[件]","破獲率[%]","嫌疑犯人數/總計[人]","嫌疑犯人數/強盜搶奪[人]","嫌疑犯人數/故意殺人[人]","嫌疑犯人數/強制性交[人]","嫌疑犯人數/其他[人]","犯罪人口率[人/十萬人]"
"106年",164,55,56,48,5,6.10,166,52,58,51,5,139,25,2,101.22,254,77,104,57,16,9.44
"107年",130,33,67,23,7,4.86,130,33,66,25,6,116,11,3,100.00,274,42,195,25,12,10.24
"108年",97,32,44,16,5,3.65,123,34,53,30,6,105,18,0,126.80,202,56,113,27,6,7.60
"109年",70,28,29,10,3,2.67,74,31,30,10,3,66,7,1,105.71,152,70,68,10,4,5.79
"110年",55,24,22,4,5,2.15,56,24,23,4,5,54,2,0,101.82,168,68,73,4,23,6.55
"111年",45,21,20,4,0,1.80,45,22,18,5,0,42,2,1,100.00,103,48,51,4,0,4.12
"112年",42,20,16,5,1,1.68,44,22,16,5,1,38,3,3,104.76,76,43,29,3,1,3.04
"113年",42,21,14,7,0,1.68,41,20,13,8,0,37,3,1,97.62,64,40,19,5,0,2.56

